,CrashSeverity,NumberOfUnits,UnitInError,CrashDateTime,Latitude,Longitude,LocationRouteType,LocationRouteNumber,LocationPrefix,LocationRoadName,LocationRoadType,MannerOfCollision,Weather,LightCondition,Narrative,CrashReportedDateTime,DispatchedDateTime,ArrivedDateTime,RoadCondition,TotalInjured,TotalKilled,AnimalRelated,AlcoholRelated,SpeedRelated,TeenRelated
91,Property Damage Only,3,1,7/27/2020 12:23,40.072711,-82.428368,,,North,21st,Street,Rear-end,Clear,Daylight,Unit #3 and Unit #2 were stopped in traffic on N 21st St @ Jefferson Rd when Unit #1 failed to stop and rear ended Unti #2 who was pushed into Unit #3.  Unit #1 is at fault for ACDA.,7/27/2020 12:23,7/27/2020 12:23,7/27/2020 12:23,Dry,0,0,False,False,False,False
92,Serious Injury Suspected,1,1,7/18/2020 17:59,40.059020000000004,-82.41856,State Route,79,,,,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit #1 was traveling northbound on SR 79; to head to SR 16 eastbound. Unit #1 lost control of the motorcycle and locked up the brakes; causing his rear end to slide out and fish tail. Unit #1 then struck the gaurd rail on the north side of the road and came to a rest. Unit #1 is at fault.,7/18/2020 17:59,7/18/2020 17:59,7/18/2020 18:03,Dry,0,0,False,False,False,False
93,Property Damage Only,2,1,7/29/2020 8:40,40.0517,-82.42909,,,West,Main ,Street,Angle,Clear,Daylight,On the stated date and time Unit #2 was travelling west bound on W Main Street near Linden Avenue; when Unit #1 was stopped on the middle of West Main Street facing westbound near Linden Avenue. Unit #2 stated that Unit #1 had a left turn signal on to turn onto Maholm Street; but as she approached Unit #1 then swerved over to the right side of West Main Street and continued west bound on West Main Street. Unit #1 struck Unit #2 in the front driverside tire area. The U-Haul truck then left the scene of the accident. The U-Haul truck was located later by officers at W Church Street and Neal Avenue; no driver was located at this time. Unit #1 is at fault for the accident. Unit #2 was issued a citation at this time for a license suspension. ,7/29/2020 8:40,7/29/2020 8:41,7/29/2020 8:43,Dry,0,0,False,False,False,False
95,Property Damage Only,2,1,7/29/2020 22:41,40.06827,-82.38431,,,,Ridge,Avenue,Not Collision Between Two Vehicles in Transport,Other/Unknown,Other/Unknown,Unit Two was parked in front of residence.  Unknown Unit One struck Unit Two and left scene.,7/29/2020 22:41,7/29/2020 22:43,7/29/2020 22:45,Other/Unknown,0,0,False,False,False,False
96,Property Damage Only,3,1,7/29/2020 13:51,40.059535,-82.401427,,,North,2ND,Street,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 1 was traveling north bound on N. 2nd St. and attempting to make a left turn to travel west bound. Unit 1 struck low hanging tree limb on E. Church St. The tree limb fell and struck Unit 2 and Unit 3 as they were stopped and located on E. Church St. facing westbound. No injuries were reported at the time of the incident. ,7/29/2020 13:51,7/29/2020 13:58,7/29/2020 14:00,Dry,0,0,False,False,False,False
98,Property Damage Only,1,1,7/31/2020 11:40,40.06779,-82.409228,,,,MT. VERNON ,Road,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit#1 advised he was traveling north on SR. 13 and was attempting to turn right on E. Shields St. when he struck a crosswalk utility pole off the right side of the roadway. Unit#1 continued east on E. Shields and attempted to turn left onto Hudson Ave. and struck a fence with the trailer at 363 Hudson Ave. Unit#1 stated his GPS directions routed him this way and he was unable to maneuver his semi/trailer with the narrow streets.,7/31/2020 11:44,7/31/2020 11:44,7/31/2020 11:49,Dry,0,0,False,False,False,False
99,Property Damage Only,2,1,7/29/2020 13:19,40.08634,-82.42793,,,North,21st,Street,Angle,Clear,Daylight,Unit #1 was traveling northbound on N. 21st St. Unit #2 was traveling from Deo Dr. to turn onto N. 21st St. to head southbound. Unit #1 attempted to turn into Wendys and was struck by Unit #2. Unit #1 is at fault for failing to yield when turning left.,7/29/2020 13:19,7/29/2020 13:21,7/29/2020 13:43,Dry,0,0,False,False,False,False
100,Property Damage Only,2,2,7/31/2020 13:43,40.086044,-82.418537,,,,Deo ,Drive,Angle,Clear,Daylight,On 07-31-2020; Unit 1 was traveling eastbound on Deo Drive when Unit 2 was exiting private property on Deo Drive failed to yield to on coming traffic. Unit 2 was then struck on the front driver side by Unit 1.  There were no injuries and both vehicles had functional damage. Unit 2 was cited for right of way at highway from any place other than another roadway.,7/31/2020 13:43,7/31/2020 13:44,7/31/2020 13:47,Dry,0,0,False,False,False,False
101,Injury Possible,2,1,7/31/2020 18:46,40.078244,-82.428263,,,North,21st,Street,Angle,Clear,Daylight,Unit 1 was making a right turn (southbound) onto N 21st St from Taco Bell (1091 N 21st St) parking lot.  Unit 2 was traveling southbound in front of 1091 N 21st St.  While Unit 1 was making the right turn it went into the path of Unit 2.  Unit 1 then struck Unit 2 causing a accident.  Unit 1 advised his foot slipped off of the brake which his vehicle went into the roadway causing him to strike Unit 2.  Unit 1 is found at fault and was issued a citation.     ,7/31/2020 18:46,7/31/2020 18:47,7/31/2020 18:54,Dry,0,0,False,False,False,False
102,Property Damage Only,2,2,7/31/2020 21:32,40.054668,-82.44100999999999,,,North,30th,Street,Rear-end,Clear,Dark - Lighted Roadway,Unit1 was traveling southbound on North 30th Street approaching Ridgelawn Avenue. Unit 2 was directly behind unit 1 travelling south on North 30th Street. Unit 1 slowed down to a stop in attempt to turn east onto Ridgelawn Avenue. Unit 2 failed to stop and crashed into the rear of unit 1.,7/31/2020 21:32,7/31/2020 21:41,7/31/2020 21:54,Dry,0,0,False,False,False,True
103,Property Damage Only,2,1,8/1/2020 19:00,40.06585,-82.40873,State Route,13,,,,Sideswipe; same direction,Other/Unknown,Dawn/Dusk,On 08/02/2020 Unit 02 was able to report a hit-skip incident that occurred on 08/01/2020. Unit 02 suffered functional damage to the driverside rear and front door panel along with their drivers side mirror being broken off. Unit 01 is unknown at this time; yet is believed to be red in color due to the paint transfer onto Unit 02. Unit 02 was parked and driverless during the time of the incident. ,8/1/2020 19:00,8/2/2020 9:31,8/2/2020 9:40,Other/Unknown,0,0,False,False,False,False
104,Property Damage Only,2,1,8/1/2020 19:15,40.086428000000005,-82.427189,,,,Deo,Drive,Rear-end,Clear,Dawn/Dusk,On 08/01/2020 Unit 02 was stopped in traffic on Deo Dr. near the intersection of N. 21st St. in Newark OH. Unit 01 was slowing and stopped in traffic behind Unit 02. Unit 01 struck Unit 02 in the rear causing minor damage to both vehicles. Unit 02 stated Unit 01 advised he had heard a horn honk and believed it was the vehicle behind him telling him to move forward. Unit 01 provided information to Unit 02 prior to both vehicles driving from the scene. Unit 02 decided they would like to have a crash report to document the incident. No injuries occurred. ,8/1/2020 19:15,8/2/2020 11:55,8/2/2020 11:58,Dry,0,0,False,False,False,False
105,Property Damage Only,1,1,8/3/2020 13:18,40.046820000000004,-82.45281,,,,MCMILLEN ,Drive,Not Collision Between Two Vehicles in Transport,Clear,Daylight,On the above date and time; Unit #1 was backing into CVS at 1370 W. Main St. when doing so; the front bumper of his tracor trailer struck a no parking sign on McMillen Drive. Unit #1 had minor damage to his bumper from making contact. ,8/3/2020 13:18,8/3/2020 13:19,8/3/2020 13:24,Dry,0,0,False,False,False,False
106,Property Damage Only,2,2,8/3/2020 17:47,40.041136,-82.435704,,,,Alley,Alley,Angle,Clear,Daylight,On listed date and time Unit 1 was traveling south bound in alley traveling from Weiant Ave to Harris Ave. Unit 2 was traveling east bound through alley towards 21st Street. According to impact Unit 1 was already almost clear through the unmarked intersection when unit 2 hit it in the back passenger side. Unit 2 the went off side of alley. From impact and small hill on left side of alley; it caused Unit 1 to flip onto its driver side. Unit 2 was ruled at fault for failure to yeild.,8/3/2020 17:47,8/3/2020 17:48,8/3/2020 17:54,Dry,0,0,False,False,False,True
107,Property Damage Only,2,2,7/28/2020 15:11,40.037789000000004,-82.428626,,,North,21st,Street,Angle,Clear,Daylight,Unit 1 stated he was driving south on N 21st and had the green light at the intersection of N 21st St and Meadowbrook Dr.  Unit 1 then stated that Unit 2 turned in front of him causing him to strike Unit 2.  Unit 2 stated that she was driving north on N 21st St and was turning west at the Meadowbrook Dr. intersection.  Unit 2 stated that she did not see anyone so she turned.  I then advised Unit 2 that it was her responsibility to make sure the intersection was clear and safe.  Unit 2 admited fault.  ,7/28/2020 15:12,7/28/2020 15:13,7/28/2020 15:17,Dry,0,0,False,False,False,False
109,Property Damage Only,2,1,8/4/2020 10:28,40.07564,-82.42796,,,North,21ST,Street,Rear-end,Cloudy,Daylight,Units #1 and #2 both N-B on N. 21st Street. Unit 2 turning into parking lot of 990 N. 21st Street when Unit 1 struck Unit 2 from behind. Unit 1 failed to keep an assured clear distance ahead when it rear-ended Unit 2. Apparent minior damage to both units; did not appear to effect functionality of either unit. Drivers of each unit provided written statements; please refer to respective OH-3 for details. Photos taken of each unit as found in parking lot of 990 N. 21st ST. as units had been moved prior to reporting officers arrival. Nothoing further. ,8/4/2020 10:28,8/4/2020 10:37,8/4/2020 10:45,Dry,0,0,False,False,False,False
110,Property Damage Only,2,99,8/4/2020 18:45,40.077111,-82.428349,,,North,21st,Street,Sideswipe; same direction,Clear,Daylight,On listed dated and time Unit 1 was traveling northbound on 21st street behind Unit 2. Unit 1 then got into the turn lane to make a left turn. At this time Unit 1 had pulled up parallel to Unit 2. Unit 2 was wanting to move into the turn lane as well. Unit 2 stated that when he looked in his mirror Unit 1 was not there; so when Unit2 proceeded over into the turn lane Unit 1 was already there beisde Unit 2.,8/4/2020 18:45,8/4/2020 18:48,8/4/2020 18:56,Dry,0,0,False,False,False,False
112,Property Damage Only,1,99,8/6/2020 18:34,40.058392,-82.41935,State Route,79,,,,Other/Unknown,Clear,Daylight,Unit 1 was traveling north on SR 79 approaching the SR 16 split. Unit 1 loss control of vehicle and struck guadrail and spun 180 degrees and came to rest with unit 1 pointed to the south. Occupants of unit 1 fled on foot from the scene. Unknown at time of report who was inside unit 1.,8/6/2020 18:34,8/6/2020 18:49,8/6/2020 18:57,Dry,0,0,False,False,False,False
113,Property Damage Only,1,1,8/6/2020 12:51,40.055820000000004,-82.40357,,,,No Name,Alley,Other/Unknown,Clear,Daylight,Unit 1 was traveling Northbound on an un-named Alley when coming to a stop at the Canal St intersection stop sign. Unit 1 attempted to make a right hand turn (Eastbound)  off of the un-named Alley way on to Canal St and made contact with the stop sign. Unit 1 has minor damage to the upper passanger side of the vehicle. ,8/6/2020 12:51,8/6/2020 12:54,8/6/2020 13:03,Dry,0,0,False,False,False,False
114,Property Damage Only,2,2,8/6/2020 6:14,40.060404999999996,-82.41033399999999,,,,Granville,Street,Sideswipe; same direction,Clear,Dawn/Dusk,Unit 1 was parked on Granville St facing eastbound. Unit 2 was traveling eastbound on Granville St when it struck Unit 1.,8/6/2020 8:29,8/6/2020 8:29,8/6/2020 8:37,Dry,0,0,False,False,False,False
115,Fatal,1,1,8/6/2020 18:11,40.055357,-82.457688,State Route,16W,,,,Not Collision Between Two Vehicles in Transport,Clear,Daylight,"08/06/2020; 1811 hours; Unit#01 was traveling west on State Rt. 16 west and left the roadway into ""alert/rumble strip"" near the concrete median near the West Church Street access ramp.  Unit#01 steered sharp right into a clockwise spin and left the roadway to the right and down an embankment and vaulting the access ramp and striking the ground again .  The strike with the embankment ejected the operator and Unit#01 struck an untility pole.  Unit#01 continued to roll through a fence and the passenger was ejected.  ",8/6/2020 18:11,8/6/2020 18:11,8/6/2020 18:14,Dry,1,0,False,False,True,True
116,Property Damage Only,2,2,8/5/2020 11:18,40.07993,-82.41559000000001,State Route,13,,,,Angle,Clear,Daylight,UNIT 1 WAS TRAVELING WB ON ANTHONY DR NEAR MT VERNON RD. UNIT 2 WAS EXITING NB FROM 826 MT VERNON RD (REDEYE EXPRESS). UNIT 2 FAILED TO Yield TO UNIT 1 AND STRUCK UNIT 1'S LEFT CENTER. UNIT 2 WAS CITED FOR THIS COLLISION.,8/5/2020 11:18,8/5/2020 11:22,8/5/2020 11:25,Dry,0,0,False,False,False,False
117,Property Damage Only,2,2,8/7/2020 14:28,40.061479,-82.39715799999999,,,,EVERETT,Avenue,Angle,Cloudy,Daylight,Unit 1 was traveling eastbound on Everett Ave. Unit 2 was traveling westbound on Everett Ave. Unit 2 failed to maintain control of vehicle crossing into eastbound lane; striking Unit 1. Unit 2 occupants fled the scene. no injuries were reported at the time of the incident. Unit 2 vehicle was impounded. ,8/7/2020 14:28,8/7/2020 14:32,8/7/2020 14:34,Dry,0,0,False,False,False,False
118,Injury Possible,1,1,8/7/2020 13:25,40.0495,-82.39587,,,South,2nd,Street,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 1 was backing out of the driveway at 276 S 2nd St and struck a telephone pole prior to making it to the roadway.  Unit 1 then began traveling forward back down the driveway when making contact with a fence gate. Unit 1 continued to travel through the fence gate striking a tree in the woods. Unit 1 then began traveling in reverse and impacted a fence in the yard coming to a final rest point. Witnesses were present during the vehicle crash and filled out a statement. The driver of Unit 1 had injuries and transported to LMH by Newark Fire. ,8/7/2020 13:25,8/7/2020 13:26,8/7/2020 13:30,Dry,0,0,False,False,False,False
119,Property Damage Only,1,1,8/8/2020 20:16,40.05575,-82.40401,State Route,13,,,,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 1 struck road close sign in roadway.  Unit 1 was suspected of OVI.  Unit 1 failed test and was placed under arrest for OVI.  Unit 1 submitted urine sample and was sent for testing.  Unit 1 is found at fault for accident and was released on a citation.  Unit 1 was impounded.,8/8/2020 20:17,8/8/2020 20:17,8/8/2020 20:17,Dry,0,0,False,True,False,False
120,Minor Injury Suspected,2,1,8/7/2020 21:55,40.079414,-82.42381999999999,,,,PIERSON,Boulevard,Not Collision Between Two Vehicles in Transport,Clear,Dark - Lighted Roadway,Unit 1 was traveling eastbound on Pierson Blvd.in Newark; Ohio. Unit 1 struck a pedestrian in the elbow with his passenger side sideview mirror. Unit 1 did not stop at the scene of the crash and continued eastbound on Pierson Blvd and was seen by witnesses continue northbound on Mt. Vernon Rd.,8/7/2020 21:58,8/7/2020 22:09,8/7/2020 22:17,Dry,0,0,False,False,False,False
122,Property Damage Only,2,1,8/10/2020 15:35,40.07124,-82.3807,,,,Allston,Avenue,Not Collision Between Two Vehicles in Transport,Clear,Other/Unknown,Per owner of Unit 2; his truck was parked in front of his residence and in good condition on 8/9/2020 at 17:00 hours. On this date; 8/10/2020 at 15:30 hours; he noticed that there was damage to passenger side door; just behind the wheel well. Owner of Unit 2 advised that previously; there had been a homemade trailer; which was made from the bed of an older truck; poarked on the vacant lot on opposite side of street from his parked unit. The trailer is gone now and the high weeds/grass indicates that a vehicle; likely a truck; drove on to lot; hooked up the trailer and backed it out. The path as indicatedc by flattened weeeds/grass is consistent with direct line of travel into the victim unit 2. However; there are no known witnesses at this time and whoever struck Unit 2; did not stop to tell owner nor; did they leave a note with name/number to attempt to communicate with owner of Unit 2.Hit skip vehicle Unit 1 at this time; is unknown. ,8/10/2020 15:35,8/10/2020 15:36,8/10/2020 15:47,Dry,0,0,False,False,False,False
123,Property Damage Only,2,2,8/10/2020 17:50,40.051365999999994,-82.419863,,,,UNION,Street,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 2 was traveling southbound on Union Street; and hit or rode on the curb area startng in front of 88 Union Street. Unit 2 re-entered the roadway; and rear-ended Unit 1; which was legally parked; and driver less. This caused Unit 1 to rotate clockwise while being shoved; into the curb; and over it. Unit 2 separated from Unit 1; and then drove over the curb again to the south side of Maholm Street. Unit 2 was found outside of the vehicle; and leaning up against the rear left corner of the vehicle. Driver had no visible signs of injury. Driver was unable to form simple sentences; or follow simple instructions. I requested a second unit while I was trying to handle the crash. He was read and shown the BMV 2255. Subject refused to submit to the Standardized Field Sobriety Tests. He was 6 of 6 indicators on Horizontal Gaze Nystagmus. Driver also refused to submit to a breath sample; blood; or urine.,8/10/2020 17:52,8/10/2020 17:52,8/10/2020 17:52,Dry,0,0,False,True,True,False
124,Property Damage Only,2,1,8/2/2020 10:30,40.07132,-82.41064,,,,Kibler,Avenue,Sideswipe; same direction,Cloudy,Daylight,On date and time listed; responded to scene of a reported hit-skip accident. Victim vehicle; Unit 2; was parked in front of the residence of the owner at 509 Kibler Ave. when it was struck by another vehicle. Unit 2 sustained damage to driver side front fender/bumper. Photos taken at scene. Owner of unit 2 statede that a neighbor spoke with her and her husband and told her he had observed the other vehicle and had also taken a phoitos of it before it left the scene. A written statement obtained from witness; as well as the the photos he took of the hit skip vehicle; Unit 1. Unit1 was identified as a US Post Office truck; bearing number 7422390. Days of follow up investigation ensued which resulted in the driver of the truck being identified and a written statement obtained. Driver of Unit 1 provided a written statemnt; OH-3; in which he denied striking the parked car. He admitted to having been on at the scene; at that time and that he parked; with out hitting any car. Refer to his OH-3 for details.  I asked him if it were possible he may have hit the other vehicle with out realising it. He adamantly denied that this was possible; saying to me that he can hear the sound a a tree limb hitting the truck. Eventually I was able to locate a neighboring residence with security camera recording of the incident. Please refer to same for details. It is clear that Unit 1 did strike unit2,8/2/2020 10:30,8/2/2020 10:42,8/2/2020 10:49,Dry,0,0,False,False,False,False
125,Property Damage Only,1,1,8/12/2020 6:46,40.0629,-82.3892,,,,Everett,Alley,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit #1 was operating Westbound on Everett Ave approaching the area of 290 Everett Ave.  The driver failed to maintain reasonable control and drove off the left side of the roadway and struck a utilty pole owned by AEP electric.  ,8/12/2020 6:46,8/12/2020 6:46,8/12/2020 6:49,Dry,0,0,False,False,True,False
126,Injury Possible,2,1,8/10/2020 12:04,40.085609999999996,-82.42631999999999,,,,Deo,Drive,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit #1 was turning left in the parking lot of 315 Deo Dr; Tractor Supply to go in front of the store front when Unit #2 exited the store and started crossing the driveway in the cross walk and was struck by Unit #1.  Driver of Unit #1 stated the Unit #2 was in her blind spot and didn't see him.,8/10/2020 12:04,8/10/2020 12:04,8/10/2020 12:08,Dry,0,0,False,False,False,False
128,Property Damage Only,2,1,8/4/2020 15:02,40.085609999999996,-82.42631999999999,,,North,21st,Street,Other/Unknown,Cloudy,Daylight,Unit #1 was parked in the parking lot at Walmart and Unit #2 hit/skipped Unit #1.  Suspect is unknown.,8/4/2020 15:02,8/4/2020 15:22,8/4/2020 15:23,Dry,0,0,False,False,False,False
129,Property Damage Only,2,2,8/13/2020 9:53,40.100747999999996,-82.424488,,,North,Mount Vernon,Road,Rear-end,Clear,Daylight,On 08-13-2020; Unit 1 and Unit 2 were traveling Southbound on Mount Vernon Rd when Unit 1 started slowing down for a red light. Unit 2 failed to stop in time striking Unit 1. Unit 2 tried to avoid Unit 1 but clipped the passenger side of the vehicle causing disabling damage. There were no injuries. Unit 1 was towed by Jae’s towing. Unit 2 had little to no damage and was able to drive. Unit 2 was cited for ACDA. ,8/13/2020 9:54,8/13/2020 9:54,8/13/2020 9:59,Dry,0,0,False,False,False,False
130,Property Damage Only,1,1,8/13/2020 15:20,40.080220000000004,-82.416398,,,,Mount Vernon,Road,Not Collision Between Two Vehicles in Transport,Clear,Daylight,On 08-13-2020; Unit 1 was traveling Northbound on Mount Vernon Rd when he had a medical emergency causing him to go off the road way striking a telephone phone.  Unit 1 was checked out by Newark EMS and refused to be transported to LMH. Newark EMS advised the medical emergency was due to Unit 1 sugar being low. Unit 1 was towed by Tri County do to disabling damage to the front passenger side. ,8/13/2020 15:20,8/13/2020 15:21,8/13/2020 15:23,Dry,0,0,False,False,False,False
131,Property Damage Only,2,2,8/13/2020 11:25,40.065946000000004,-82.389438,,,,HUNTER ,Street,Angle,Clear,Daylight,Unit#1 was traveling west on Clarendon St and was stopped at the stop sign on Clarendon St. at Hunter St. Unit#2 was traveling south and was stopped at the stop sign on Hunter St. Unit#1 proceeded to travel west and was struck by Unit#2; when she failed to yield to Unit#1. Unit#2 was cited for failure to yield. Unit#1 was able to provide dash camera footage of the accident. ,8/13/2020 11:25,8/13/2020 11:25,8/13/2020 11:29,Dry,0,0,False,False,False,False
132,Property Damage Only,2,1,8/14/2020 16:03,40.06382,-82.4295,,,North,21st,Street,Rear-end,Clear,Daylight,Unit 1 was traveling southbound in the right hand lane on N. 21st Street. Unit 2 was also traveling southbound in the left hand lane traveling southbound on N. 21st Street. The driver of Unit 1 attempted to merge into the left hand lane. As Unit 1 was merging; they struck the rear of Unit 2. Unit 1 was determined to be at fault for the accident and was cited for ACDA.,8/14/2020 16:03,8/14/2020 16:13,8/14/2020 16:22,Dry,0,0,False,False,False,False
133,Property Damage Only,2,1,8/15/2020 9:57,40.05852,-82.44082900000001,,,South,30th,Street,Angle,Cloudy,Daylight,"08/15/2020; 1145 hours; the operator of Unit#2 reported that an ""elderly man"" drove into him and left the scene of the traffic crash.  This operator described traveling north on North 30th Street and stopping for a red traffic signal at the West Church Street intersection. Stated Unit#02 made a wide right turn from West Church Street onto North 30th Street and struck Unit#02 in the right turn lane and left the area.  Damage to Unit#02 is consistent with these statements.  Unit#1 is unidentified at this time.",8/15/2020 9:57,8/15/2020 10:06,8/15/2020 10:13,Wet,0,0,False,False,False,False
134,Minor Injury Suspected,1,1,8/15/2020 14:16,40.061657000000004,-82.43982700000001,State Route,16W,,,,Not Collision Between Two Vehicles in Transport,Rain,Daylight,Unit#1 was traveling west on State Route 16 near Country Club Drive. Unit#1 advised he was attempting to change lanes when he lost control; striking the concrete median.  Unit#1 was under the influence of alcohol and was placed under arrest for ovi.,8/15/2020 14:16,8/15/2020 14:23,8/15/2020 15:02,Wet,0,0,False,True,False,False
135,Property Damage Only,2,1,8/1/2020 14:11,40.049147,-82.440938,,,West,MAIN,Street,Rear-end,Cloudy,Daylight,"08/01/2020; 1411 hours; the operator of Unit#02 reported being in a ""hit/skip"" traffic crash where Unit#01 left the scene of the traffic crash.  This operator took a digital image of the other unit's license plate and a 3rd party witness collaborated his account.  The operator of Unit#02 stated he traveled west on West Main Street and stopped near the South 30th Street intersection.  The operator decribed Unit#01 failing to stop behind Unit#02; in the same lane; and striking Unit#02 in the rear and then leaving.  Unit#02 had damage consistent with his statements.  The operator of Unit#01 at the time of the traffic crash remains unidentified at this time.",8/1/2020 14:11,8/1/2020 14:11,8/1/2020 14:24,Dry,0,0,False,False,False,False
136,Minor Injury Suspected,2,1,8/15/2020 16:28,40.08645,-82.42747,,,North,21st,Street,Angle,Cloudy,Daylight,Unit 1 was traveling northbound on N 21st St in the intersection of Goosepond Rd.  Unit 2 was traveling eastbound on Goosepond Rd in the intersection of N 21st St.  Unit 1 struck Unit 2 causing a accident.  Unit 1 then fled the scene without reporting accident.  Unit 1 left it's front bumper behind with the front license plate still attached.  Officer ran license plate of Unit 1.  Officer had Pickaway County SO check address that can back to license plate of Unit 1 to see who was driving.  Pickaway County SO advised owner no longer resides at address and did not have a updated location for owner.  Witnesses on scene of accident advised they believed driver of Unit 1 stole from the Home Depot and was in a hurry to leave while driving erratically which lead Unit 1 to run the red light.  Officer checked Home Depot and they did not report any thefts.  Later; Unit 1 was located in the driveway at 297 Mt Vernon Rd without the driver.  Unit 1 was impounded.  Residence had video of driver getting out which was a white male.  Officers were unable to ID driver at this time.  Unknown at this time who was driving Unit 1.  ,8/15/2020 16:28,8/15/2020 16:32,8/15/2020 16:36,Dry,0,0,False,False,False,True
137,Minor Injury Suspected,2,1,8/18/2020 0:50,40.0656,-82.4293,,,North,21,Street,Other/Unknown,Clear,Dark - Lighted Roadway,Unit #1 one was walking in the roadway in dark clothing and was struck by Unit #2.,8/18/2020 0:50,8/18/2020 0:51,8/18/2020 0:57,Dry,0,0,False,False,False,False
138,Property Damage Only,1,1,8/17/2020 23:46,40.054266999999996,-82.409084,,,,WILSON,Street,Not Collision Between Two Vehicles in Transport,Clear,Dark - Unknown Roadway Lighting,OSP Trooper Jason Bell witnessed unit 1 leaving the Circle K and head eastbound on W. Church St. Trooper Bell stated the vehicle went left of center; so he initiated a traffic stop in the area of 7th St and W. Church St. but the vehicle fled. Trooper Bell stated once Unit 1 hit a high rate of speed; he terminated the pursuit. Trooper Bell stated he last saw the vehicle ahead of him in the area of S. 6th and Jefferson St but lost it. Trooper Bell was waived down by a resident in the area; who advised them that a vehicle had just crashed into a fence. Trooper Bell and I arrived on scene at 96 Wilson St; where Unit 1 was located. Unit 1 had drove through a white fence behind 96 Wilson St and came to a stop into the fence at 102 Wilson St. The driver of Unit 1 fled the scene prior to our arrival. Unit 1 sustained minor damage to the vehicle but the keys could not be removed from the ignition. Unit 1 was impounded and Speedy's Towing towed it to the City of Newark Impound Lot. ,8/17/2020 23:46,8/17/2020 23:54,8/17/2020 23:54,Dry,0,0,False,False,False,False
141,Property Damage Only,2,1,8/18/2020 18:07,40.079015999999996,-82.42824300000001,,,North,21ST,Street,Angle,Clear,Daylight,UNIT 1 WAS TRAVELING NORTHBOUND ON N 21ST ST APPROACHING THE INTERSECTION IN FRONT OF 1155 N 21ST ST. UNIT 2 WAS TRAVELING SOUTHBOUND ON N 21ST ST APPROACHING THE INTERSECTION IN FRONT OF 1155 N 21ST ST. UNIT 1 STATED SHE HAD A GREEN LIGHT; BUT NOT A GREEN TURN ARROW. UNIT 2 STATED SHE HAD A GREEN LIGHT TO PROCEED STRAIGHT DOWN N 21ST ST. UNIT 1 BELIEVED SHE HAD ENOUGH TIME TO MAKE THE LEFT TURN INTO THE PARKING LOT OF 1155 N 21ST ST AND MADE THE TURN. UNIT 2 THEN STRUCK UNIT 1 IN THE REAR PASSENGER TAILLIGHT/BUMPER AREA; CAUSING MINOR DAMAGE. UNIT 2 SUSTAINED MINOR DAMAGE TO THE FRONT PASSENGER SIDE AND HEADLIGHT. NO INJURIES WERE REPORTED. UNIT 1 WAS CITED FOR FAILING TO YIELD WHEN TURNING LEFT. ,8/18/2020 18:07,8/18/2020 18:56,8/18/2020 19:03,Dry,0,0,False,False,False,True
142,Property Damage Only,2,2,8/18/2020 17:19,40.057328000000005,-82.40397,,,West,Main,Street,Angle,Clear,Daylight,Unit 1 was heading northbound on 4th St and had a green light. Unit 2 was heading eastbound on West Main St and had a red light. Unit 1 struck Unit 2. The driver of Unit 1 stated she had the green light. Two other witnesses at the scene stated that Unit 1 had the green light. Driver of Unit 2 stated he had the green light. This contradicts witness statements. Witnesses also said that people were honking their horns at Unit 2 to get him to stop. The driver of Unit 2 was found to be under the influence of alcohol. Driver of Unit 2 was issued a citation for OVI and failure to obey a red light and found at fault for the accident.,8/18/2020 17:19,8/18/2020 17:19,8/18/2020 17:22,Dry,0,0,False,True,False,False
143,Property Damage Only,2,2,8/17/2020 16:30,40.069127,-82.436421,,,North,VILLAGE,Drive,Not Collision Between Two Vehicles in Transport,Clear,Daylight,Unit 2 driver had stopped and parked the unit; and was talking to another company driver. These units had been blocking the driveway to 870 N. Village Drive. Unit1 drove past and returned; and the parked approxiamtely 25 feet to the rear of Unit 2.  Both Units 1 and 2 were stopped/parked illegally; on the wrong side of the road; and facing the wrong direction. Driver of Unit 2 re-entered the unit and engaged the unit to back up. Unit 2 driver did not look behind the unit; nor reportedly were they able to see Unit 1. Unit 2 then backed into the center front of Unit 1; causing disabling damage. Vehicle registrations were checked; and  Unit 2 was found to display a registration of PKA 8634 that did not display a weight or expiration sticker. Registration was found to have expired 10-31-2019; and also belonged on a different vehicle. The business owner was contacted directly; and was made aware of the issue. This made Unit 2 illegal to even be on the roadway. If not on the roadway; then it would not have been present; or involved in this crash. The majority of violations fall to the driver; and owner of Unit 2.,8/17/2020 16:34,8/17/2020 17:16,8/17/2020 17:35,Dry,0,0,False,False,False,False
